"Name","Year","Rank"
"Muhammad","1914",NA
"Nathan","1914",NA
"Neil","1914",NA
"Neville","1914",NA
"Nicholas","1914",NA
"Nigel","1914",NA
"Noah","1914",NA
"Noel","1914",NA
"Norman","1914",28
"Oliver","1914",NA
"Ollie","1914",NA
"Oscar","1914",NA
"Owen","1914",98
"Patrick","1914",38
"Paul","1914",93
"Percival","1914",94
"Percy","1914",44
"Peter","1914",42
"Philip","1914",52
"Phillip","1914",99
"Ralph","1914",60
"Raymond","1914",51
"Reece","1914",NA
"Reggie","1914",NA
"Reginald","1914",24
"Reuben","1914",NA
"Rhys","1914",NA
"Richard","1914",26
"Ricky","1914",NA
"Riley","1914",NA
"Robert","1914",10
"Robin","1914",NA
"Rodney","1914",NA
"Roger","1914",NA
"Roland","1914",83
"Roman","1914",NA
"Ronald","1914",21
"Ronnie","1914",NA
"Rory","1914",NA
"Ross","1914",NA
"Roy","1914",64
"Royston","1914",NA
"Russell","1914",NA
"Ryan","1914",NA
"Sam","1914",NA
"Samuel","1914",36
"Scott","1914",NA
"Sean","1914",NA
"Sebastian","1914",NA
"Seth","1914",NA
"Shane","1914",NA
"Shaun","1914",NA
"Sidney","1914",31
"Simon","1914",NA
"Sonny","1914",NA
"Stanley","1914",22
"Stephen","1914",68
"Steven","1914",NA
"Stewart","1914",NA
"Stuart","1914",NA
"Sydney","1914",37
"Taylor","1914",NA
"Teddy","1914",NA
"Terence","1914",NA
"Terry","1914",NA
"Theo","1914",NA
"Theodore","1914",NA
"Thomas","1914",4
"Timothy","1914",NA
"Toby","1914",NA
"Tom","1914",74
"Tommy","1914",NA
"Tony","1914",NA
"Trevor","1914",100
"Tyler","1914",NA
"Victor","1914",49
"Vincent","1914",91
"Walter","1914",23
"Wayne","1914",NA
"Wilfred","1914",35
"William","1914",2
"Zachary","1914",NA
"Zak","1914",NA
"Aaron","1924",NA
"Abdul","1924",NA
"Adam","1924",NA
"Adrian","1924",NA
"Aidan","1924",NA
"Alan","1924",37
"Albert","1924",13
"Alec","1924",94
"Alex","1924",NA
"Alexander","1924",54
"Alfie","1924",NA
"Alfred","1924",27
"Allan","1924",75
"Andrew","1924",73
"Anthony","1924",49
"Antony","1924",NA
"Archibald","1924",NA
"Archie","1924",NA
"Arnold","1924",81
"Arthur","1924",9
"Ashley","1924",NA
"Austin","1924",NA
"Bailey","1924",NA
"Barrie","1924",NA
"Barry","1924",NA
"Basil","1924",80
"Ben","1924",NA
"Benjamin","1924",83
"Bernard","1924",42
"Bertie","1924",NA
"Bertram","1924",NA
"Billy","1924",NA
"Blake","1924",NA
"Bobby","1924",NA
"Bradley","1924",NA
"Brandon","1924",NA
"Brett","1924",NA
"Brian","1924",66
"Bruce","1924",NA
"Bryan","1924",NA
"Caleb","1924",NA
"Callum","1924",NA
"Cameron","1924",NA
"Carl","1924",NA
"Carter","1924",NA
"Cecil","1924",60
"Charles","1924",14
"Charlie","1924",NA
"Christian","1924",NA
"Christopher","1924",69
"Clarence","1924",NA
"Claude","1924",NA
"Clifford","1924",48
"Clive","1924",NA
"Colin","1924",61
"Connor","1924",NA
"Conor","1924",NA
"Corey","1924",NA
"Craig","1924",NA
"Cyril","1924",35
"Dale","1924",NA
"Damian","1924",NA
"Damien","1924",NA
"Daniel","1924",72
"Danny","1924",NA
"Darren","1924",NA
"David","1924",21
"Dean","1924",NA
"Declan","1924",NA
"Denis","1924",58
"Dennis","1924",20
"Derek","1924",52
"Derrick","1924",74
"Desmond","1924",65
"Dexter","1924",NA
"Dominic","1924",NA
"Donald","1924",29
"Douglas","1924",38
"Duncan","1924",NA
"Dylan","1924",NA
"Edgar","1924",84
"Edmund","1924",96
"Edward","1924",12
"Edwin","1924",56
"Elijah","1924",NA
"Elliot","1924",NA
"Elliott","1924",NA
"Ellis","1924",NA
"Eric","1924",18
"Ernest","1924",23
"Ethan","1924",NA
"Evan","1924",NA
"Ewan","1924",NA
"Felix","1924",NA
"Finlay","1924",NA
"Finley","1924",NA
"Francis","1924",43
"Frank","1924",19
"Frankie","1924",NA
"Fred","1924",63
"Freddie","1924",NA
"Frederick","1924",10
"Gabriel","1924",NA
"Gareth","1924",NA
"Garry","1924",NA
"Gary","1924",NA
"Gavin","1924",NA
"Geoffrey","1924",36
"George","1924",3
"Gerald","1924",51
"Gerard","1924",NA
"Gilbert","1924",95
"Glen","1924",NA
"Glenn","1924",NA
"Gordon","1924",39
"Graeme","1924",NA
"Graham","1924",92
"Gregory","1924",NA
"Guy","1924",NA
"Harley","1924",NA
"Harold","1924",26
"Harrison","1924",NA
"Harry","1924",30
"Harvey","1924",NA
"Hector","1924",NA
"Henry","1924",24
"Herbert","1924",46
"Horace","1924",70
"Howard","1924",93
"Hubert","1924",87
"Hugh","1924",71
"Hugo","1924",NA
"Iain","1924",NA
"Ian","1924",85
"Ibrahim","1924",NA
"Isaac","1924",NA
"Ivan","1924",97
"Ivor","1924",77
"Jack","1924",33
"Jackson","1924",NA
"Jacob","1924",NA
"Jake","1924",NA
"James","1924",4
"Jamie","1924",NA
"Jason","1924",NA
"Jaxon","1924",NA
