"","Name","Year","Rank"
"372","Donald","1914",41
"373","Douglas","1914",57
"374","Duncan","1914",NA
"375","Dylan","1914",NA
"376","Edgar","1914",65
"377","Edmund","1914",80
"378","Edward","1914",11
"379","Edwin","1914",50
"380","Elijah","1914",NA
"381","Elliot","1914",NA
"382","Elliott","1914",NA
"383","Ellis","1914",NA
"384","Eric","1914",27
"385","Ernest","1914",13
"386","Ethan","1914",NA
"387","Evan","1914",96
"388","Ewan","1914",NA
"389","Ezra","1914",NA
"390","Felix","1914",NA
"391","Finlay","1914",NA
"392","Finley","1914",NA
"393","Finn","1914",NA
"394","Francis","1914",34
"395","Frank","1914",15
"396","Frankie","1914",NA
"397","Fred","1914",47
"398","Freddie","1914",NA
"399","Frederick","1914",7
"400","Gabriel","1914",NA
"401","Gareth","1914",NA
"402","Garry","1914",NA
"403","Gary","1914",NA
"404","Gavin","1914",NA
"405","Geoffrey","1914",55
"406","George","1914",3
"407","Gerald","1914",70
"408","Gerard","1914",NA
"409","Gilbert","1914",72
"410","Glen","1914",NA
"411","Glenn","1914",NA
"412","Gordon","1914",54
"413","Graeme","1914",NA
"414","Graham","1914",NA
"415","Gregory","1914",NA
"416","Guy","1914",NA
"417","Harley","1914",NA
"418","Harold","1914",18
"419","Harrison","1914",NA
"420","Harry","1914",19
"421","Harvey","1914",NA
"422","Hector","1914",NA
"423","Henry","1914",16
"424","Herbert","1914",25
"425","Horace","1914",43
"426","Howard","1914",95
"427","Hubert","1914",71
"428","Hugh","1914",61
"429","Hugo","1914",NA
"430","Iain","1914",NA
"431","Ian","1914",NA
"432","Ibrahim","1914",NA
"433","Isaac","1914",NA
"434","Ivan","1914",NA
"435","Ivor","1914",73
"436","Jack","1914",30
"437","Jackson","1914",NA
"438","Jacob","1914",NA
"439","Jake","1914",NA
"440","James","1914",5
"441","Jamie","1914",NA
"442","Jason","1914",NA
"443","Jasper","1914",NA
"444","Jaxon","1914",NA
"445","Jay","1914",NA
"446","Jayden","1914",NA
"447","Jeffrey","1914",NA
"448","Jenson","1914",NA
"449","Jeremy","1914",NA
"450","Jesse","1914",NA
"451","Joe","1914",NA
"452","Joel","1914",NA
"453","John","1914",1
"454","Jonathan","1914",NA
"455","Jordan","1914",NA
"456","Joseph","1914",12
"457","Josh","1914",NA
"458","Joshua","1914",NA
"459","Jude","1914",NA
"460","Julian","1914",NA
"461","Justin","1914",NA
"462","Kai","1914",NA
"463","Karl","1914",NA
"464","Keith","1914",NA
"465","Kenneth","1914",33
"466","Kevin","1914",NA
"467","Kian","1914",NA
"468","Kieran","1914",NA
"469","Kyle","1914",NA
"470","Laurence","1914",87
"471","Lawrence","1914",62
"472","Lee","1914",NA
"473","Leigh","1914",NA
"474","Leo","1914",NA
"475","Leon","1914",NA
"476","Leonard","1914",20
"477","Leslie","1914",17
"478","Lewis","1914",78
"479","Liam","1914",NA
"480","Lionel","1914",81
"481","Logan","1914",NA
"482","Louie","1914",NA
"483","Louis","1914",79
"484","Luca","1914",NA
"485","Lucas","1914",NA
"486","Luke","1914",NA
"487","Malcolm","1914",NA
"488","Marc","1914",NA
"489","Marcus","1914",NA
"490","Mark","1914",NA
"491","Martin","1914",86
"492","Martyn","1914",NA
"493","Mason","1914",NA
"494","Mathew","1914",NA
"495","Matthew","1914",85
"496","Maurice","1914",48
"497","Max","1914",NA
"498","Melvyn","1914",NA
"499","Michael","1914",39
"500","Mitchell","1914",NA
"501","Mohamed","1914",NA
"502","Mohammad","1914",NA
"503","Mohammed","1914",NA
"504","Morgan","1914",NA
"505","Morris","1914",NA
"506","Muhammad","1914",NA
"507","Nathan","1914",NA
"508","Neil","1914",NA
"509","Neville","1914",NA
"510","Nicholas","1914",NA
"511","Nigel","1914",NA
"512","Noah","1914",NA
"513","Noel","1914",NA
"514","Norman","1914",28
"515","Oliver","1914",NA
"516","Ollie","1914",NA
"517","Oscar","1914",NA
"518","Owen","1914",98
"519","Patrick","1914",38
"520","Paul","1914",93
"521","Percival","1914",94
"522","Percy","1914",44
"523","Peter","1914",42
"524","Philip","1914",52
"525","Phillip","1914",99
"526","Ralph","1914",60
"527","Raymond","1914",51
"528","Reece","1914",NA
"529","Reggie","1914",NA
"530","Reginald","1914",24
"531","Reuben","1914",NA
"532","Rhys","1914",NA
"533","Richard","1914",26
"534","Ricky","1914",NA
"535","Riley","1914",NA
"536","Robert","1914",10
"537","Robin","1914",NA
"538","Rodney","1914",NA
"539","Roger","1914",NA
"540","Roland","1914",83
"541","Roman","1914",NA
"542","Ronald","1914",21
"543","Ronnie","1914",NA
"544","Rory","1914",NA
"545","Ross","1914",NA
"546","Roy","1914",64
"547","Royston","1914",NA
"548","Russell","1914",NA
"549","Ryan","1914",NA
"550","Sam","1914",NA
"551","Samuel","1914",36
"552","Scott","1914",NA
"553","Sean","1914",NA
"554","Sebastian","1914",NA
"555","Shane","1914",NA
"556","Shaun","1914",NA
"557","Sidney","1914",31
"558","Simon","1914",NA
"559","Stanley","1914",22
"560","Stephen","1914",68
"561","Steven","1914",NA
"562","Stewart","1914",NA
"563","Stuart","1914",NA
"564","Sydney","1914",37
"565","Taylor","1914",NA
"566","Teddy","1914",NA
"567","Terence","1914",NA
"568","Terry","1914",NA
"569","Theo","1914",NA
"570","Theodore","1914",NA
"571","Thomas","1914",4
"572","Timothy","1914",NA
"573","Toby","1914",NA
"574","Tom","1914",74
"575","Tommy","1914",NA
"576","Tony","1914",NA
"577","Trevor","1914",100
"578","Tyler","1914",NA
"579","Victor","1914",49
"580","Vincent","1914",91
"581","Walter","1914",23
"582","Wayne","1914",NA
"583","Wilfred","1914",35
"584","William","1914",2
"585","Zachary","1914",NA
"586","Zak","1914",NA
"587","Aaron","1924",NA
"588","Abdul","1924",NA
"589","Adam","1924",NA
"590","Adrian","1924",NA
"591","Aidan","1924",NA
"592","Alan","1924",37
"593","Albert","1924",13
"594","Albie","1924",NA
"595","Alec","1924",94
"596","Alex","1924",NA
"597","Alexander","1924",54
"598","Alfie","1924",NA
"599","Alfred","1924",27
"600","Allan","1924",75
"601","Andrew","1924",73
"602","Anthony","1924",49
"603","Antony","1924",NA
"604","Archibald","1924",NA
"605","Archie","1924",NA
"606","Arlo","1924",NA
"607","Arnold","1924",81
"608","Arthur","1924",9
"609","Ashley","1924",NA
"610","Austin","1924",NA
"611","Bailey","1924",NA
"612","Barrie","1924",NA
"613","Barry","1924",NA
"614","Basil","1924",80
"615","Ben","1924",NA
"616","Benjamin","1924",83
"617","Bernard","1924",42
"618","Bertie","1924",NA
"619","Bertram","1924",NA
"620","Billy","1924",NA
"621","Blake","1924",NA
"622","Bobby","1924",NA
"623","Bradley","1924",NA
"624","Brandon","1924",NA
"625","Brett","1924",NA
"626","Brian","1924",66
"627","Bruce","1924",NA
"628","Bryan","1924",NA
"629","Caleb","1924",NA
"630","Callum","1924",NA
"631","Cameron","1924",NA
"632","Carl","1924",NA
"633","Carter","1924",NA
"634","Cecil","1924",60
"635","Charles","1924",14
"636","Charlie","1924",NA
"637","Christian","1924",NA
"638","Christopher","1924",69
"639","Clarence","1924",NA
"640","Claude","1924",NA
"641","Clifford","1924",48
"642","Clive","1924",NA
"643","Colin","1924",61
"644","Connor","1924",NA
"645","Conor","1924",NA
"646","Corey","1924",NA
"647","Craig","1924",NA
"648","Cyril","1924",35
"649","Dale","1924",NA
"650","Damian","1924",NA
"651","Damien","1924",NA
"652","Daniel","1924",72
"653","Danny","1924",NA
"654","Darren","1924",NA
"655","David","1924",21
"656","Dean","1924",NA
"657","Declan","1924",NA
"658","Denis","1924",58
"659","Dennis","1924",20
"660","Derek","1924",52
"661","Derrick","1924",74
"662","Desmond","1924",65
"663","Dexter","1924",NA
"664","Dominic","1924",NA
"665","Donald","1924",29
"666","Douglas","1924",38
"667","Duncan","1924",NA
"668","Dylan","1924",NA
"669","Edgar","1924",84
"670","Edmund","1924",96
"671","Edward","1924",12
"672","Edwin","1924",56
"673","Elijah","1924",NA
"674","Elliot","1924",NA
"675","Elliott","1924",NA
"676","Ellis","1924",NA
"677","Eric","1924",18
"678","Ernest","1924",23
"679","Ethan","1924",NA
"680","Evan","1924",NA
"681","Ewan","1924",NA
"682","Ezra","1924",NA
"683","Felix","1924",NA
"684","Finlay","1924",NA
"685","Finley","1924",NA
"686","Finn","1924",NA
"687","Francis","1924",43
"688","Frank","1924",19
"689","Frankie","1924",NA
"690","Fred","1924",63
"691","Freddie","1924",NA
"692","Frederick","1924",10
"693","Gabriel","1924",NA
"694","Gareth","1924",NA
"695","Garry","1924",NA
"696","Gary","1924",NA
"697","Gavin","1924",NA
"698","Geoffrey","1924",36
"699","George","1924",3
"700","Gerald","1924",51
"701","Gerard","1924",NA
"702","Gilbert","1924",95
"703","Glen","1924",NA
"704","Glenn","1924",NA
"705","Gordon","1924",39
"706","Graeme","1924",NA
"707","Graham","1924",92
"708","Gregory","1924",NA
"709","Guy","1924",NA
"710","Harley","1924",NA
"711","Harold","1924",26
"712","Harrison","1924",NA
"713","Harry","1924",30
"714","Harvey","1924",NA
"715","Hector","1924",NA
"716","Henry","1924",24
"717","Herbert","1924",46
"718","Horace","1924",70
"719","Howard","1924",93
"720","Hubert","1924",87
"721","Hugh","1924",71
"722","Hugo","1924",NA
"723","Iain","1924",NA
"724","Ian","1924",85
"725","Ibrahim","1924",NA
"726","Isaac","1924",NA
"727","Ivan","1924",97
"728","Ivor","1924",77
"729","Jack","1924",33
"730","Jackson","1924",NA
"731","Jacob","1924",NA
"732","Jake","1924",NA
"733","James","1924",4
"734","Jamie","1924",NA
"735","Jason","1924",NA
"736","Jasper","1924",NA
"737","Jaxon","1924",NA
"738","Jay","1924",NA
"739","Jayden","1924",NA
"740","Jeffrey","1924",NA
"741","Jenson","1924",NA
"742","Jeremy","1924",NA
"743","Jesse","1924",NA
"744","Joe","1924",NA
"745","Joel","1924",NA
"746","John","1924",1
"747","Jonathan","1924",NA
"748","Jordan","1924",NA
"749","Joseph","1924",16
"750","Josh","1924",NA
"751","Joshua","1924",NA
"752","Jude","1924",NA
"753","Julian","1924",NA
"754","Justin","1924",NA
"755","Kai","1924",NA
"756","Karl","1924",NA
"757","Keith","1924",86
"758","Kenneth","1924",7
"759","Kevin","1924",NA
"760","Kian","1924",NA
"761","Kieran","1924",NA
"762","Kyle","1924",NA
"763","Laurence","1924",100
"764","Lawrence","1924",62
"765","Lee","1924",NA
"766","Leigh","1924",NA
"767","Leo","1924",NA
"768","Leon","1924",NA
"769","Leonard","1924",25
"770","Leslie","1924",15
"771","Lewis","1924",98
"772","Liam","1924",NA
"773","Lionel","1924",90
"774","Logan","1924",NA
"775","Louie","1924",NA
"776","Louis","1924",NA
"777","Luca","1924",NA
"778","Lucas","1924",NA
"779","Luke","1924",NA
"780","Malcolm","1924",NA
"781","Marc","1924",NA
"782","Marcus","1924",NA
"783","Mark","1924",NA
"784","Martin","1924",89
"785","Martyn","1924",NA
