"","Name","Year","Rank"
"349","Valerie","1904",NA
"350","Vanessa","1904",NA
"351","Vera","1904",45
"352","Veronica","1904",NA
"353","Victoria","1904",NA
"354","Violet","1904",17
"355","Vivienne","1904",NA
"356","Wendy","1904",NA
"357","Willow","1904",NA
"358","Winifred","1904",12
"359","Yasmin","1904",NA
"360","Yvonne","1904",NA
"361","Zara","1904",NA
"362","Zoe","1904",NA
"363","Abbie","1914",NA
"364","Abigail","1914",NA
"365","Ada","1914",39
"366","Agnes","1914",43
"367","Aimee","1914",NA
"368","Aisha","1914",NA
"369","Alexandra","1914",NA
"370","Alice","1914",13
"371","Alicia","1914",NA
"372","Alisha","1914",NA
"373","Alison","1914",NA
"374","Alma","1914",NA
"375","Amanda","1914",NA
"376","Amber","1914",NA
"377","Amelia","1914",98
"378","Amelie","1914",NA
"379","Amy","1914",57
"380","Andrea","1914",NA
"381","Angela","1914",NA
"382","Anita","1914",NA
"383","Ann","1914",72
"384","Anna","1914",NA
"385","Annabelle","1914",NA
"386","Anne","1914",55
"387","Annette","1914",NA
"388","Annie","1914",12
"389","Arabella","1914",NA
"390","Aria","1914",NA
"391","Ashleigh","1914",NA
"392","Audrey","1914",86
"393","Ava","1914",NA
"394","Barbara","1914",53
"395","Beatrice","1914",33
"396","Bella","1914",NA
"397","Bertha","1914",85
"398","Beryl","1914",93
"399","Bessie","1914",74
"400","Beth","1914",NA
"401","Bethan","1914",NA
"402","Bethany","1914",NA
"403","Betty","1914",65
"404","Beverley","1914",NA
"405","Blanche","1914",NA
"406","Brenda","1914",NA
"407","Bridget","1914",92
"408","Brooke","1914",NA
"409","Caitlin","1914",NA
"410","Carla","1914",NA
"411","Carly","1914",NA
"412","Carol","1914",NA
"413","Carole","1914",NA
"414","Caroline","1914",NA
"415","Carolyn","1914",NA
"416","Catherine","1914",36
"417","Chantelle","1914",NA
"418","Charlene","1914",NA
"419","Charlotte","1914",96
"420","Chelsea","1914",NA
"421","Cheryl","1914",NA
"422","Chloe","1914",NA
"423","Christina","1914",NA
"424","Christine","1914",NA
"425","Clair","1914",NA
"426","Claire","1914",NA
"427","Clara","1914",76
"428","Clare","1914",NA
"429","Constance","1914",44
"430","Courtney","1914",NA
"431","Cynthia","1914",NA
"432","Daisy","1914",54
"433","Danielle","1914",NA
"434","Daphne","1914",NA
"435","Darcey","1914",NA
"436","Darcie","1914",NA
"437","Darcy","1914",NA
"438","Dawn","1914",NA
"439","Debbie","1914",NA
"440","Deborah","1914",NA
"441","Debra","1914",NA
"442","Demi","1914",NA
"443","Denise","1914",NA
"444","Diana","1914",NA
